,title,lprice,mall,link
0,아더템포 렌토 카멜베이지 none,106875,네이버,https://search.shopping.naver.com/gate.nhn?id=45230650895
1,마가린핑거스 check shirring one piece none,64980,네이버,https://search.shopping.naver.com/gate.nhn?id=45108248190
2,리엘 None layered set ops - 리엘 529925,202700,네이버,https://search.shopping.naver.com/gate.nhn?id=42341355780
3,마가린핑거스 LAYERED HALTER ONE PIECE ROYAL none,103550,네이버,https://search.shopping.naver.com/gate.nhn?id=39839668676
4,FACE NONE FLOWER PRINTED PUFF DRESS,176580,네이버,https://search.shopping.naver.com/gate.nhn?id=40618703695
5,RE L None layered set ops,131220,네이버,https://search.shopping.naver.com/gate.nhn?id=45013270582
6,FACE NONE KNIT SQURE NECK SLEEVELESS OPS,189000,네이버,https://search.shopping.naver.com/gate.nhn?id=44107355604
7,FACE NONE CRINKLED SHIRT DRESS BUTTER,228000,네이버,https://search.shopping.naver.com/gate.nhn?id=44042715707
8,FACE NONE HIGH NECK MINI DRESS,328000,네이버,https://search.shopping.naver.com/gate.nhn?id=44041557013
9,FACE NONE SLIP BUSTIER DRESS,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=44041223714
10,FACE NONE FN SIGNATURE BOW-DETAIL DRESS,398000,네이버,https://search.shopping.naver.com/gate.nhn?id=44041021974
11,FACE NONE WOOL KNIT DRESS,268000,네이버,https://search.shopping.naver.com/gate.nhn?id=44040126228
12,FACE NONE FN SIGNATURE BOW-DETAIL DRESS CHARCOAL,398000,네이버,https://search.shopping.naver.com/gate.nhn?id=44039462328
13,FACE NONE CRINKLED SHIRT DRESS,228000,네이버,https://search.shopping.naver.com/gate.nhn?id=44039324203
14,FACE NONE FN SIGNATURE LONG-SLEEVE FLARED DRESS,528000,네이버,https://search.shopping.naver.com/gate.nhn?id=44037123534
15,FACE NONE SLEEVELESS MINI DRESS GREEN,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=44000970012
16,FACE NONE LOGO TANK DRESS,169000,네이버,https://search.shopping.naver.com/gate.nhn?id=44000551125
17,FACE NONE SLEEVELESS MINI DRESS,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=44000553808
18,FACE NONE SLIP BUSTIER DRESS,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=43998036914
19,FACE NONE SLIP BUSTIER DRESS,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=43993668790
20,FACE NONE COTTON LONG DRESS MINT,188000,네이버,https://search.shopping.naver.com/gate.nhn?id=43980894341
21,FACE NONE NATURAL V-NECK DRESS,258000,네이버,https://search.shopping.naver.com/gate.nhn?id=43980213032
22,FACE NONE NATURAL V-NECK DRESS,258000,네이버,https://search.shopping.naver.com/gate.nhn?id=43978685073
23,FACE NONE STRIPE MINI DRESS,348000,네이버,https://search.shopping.naver.com/gate.nhn?id=43977776306
24,FACE NONE SLEEVELESS MINI DRESS,238000,네이버,https://search.shopping.naver.com/gate.nhn?id=43967856279
25,FACE NONE SQUARE NECK MINI DRESS,368000,네이버,https://search.shopping.naver.com/gate.nhn?id=43967780590
26,FACE NONE LOGO DETAIL SHIRT DRESS,218000,네이버,https://search.shopping.naver.com/gate.nhn?id=43967770285
27,FACE NONE LOGO TANK DRESS,169000,네이버,https://search.shopping.naver.com/gate.nhn?id=43964873636
28,FACE NONE LOGO DETAIL SHIRT DRESS,218000,네이버,https://search.shopping.naver.com/gate.nhn?id=43947378279
29,FACE NONE STRIPE MINI DRESS,348000,네이버,https://search.shopping.naver.com/gate.nhn?id=43947258710
30,FACE NONE COTTON LONG DRESS,188000,네이버,https://search.shopping.naver.com/gate.nhn?id=43946271138
31,FACE NONE COTTON LONG DRESS,188000,네이버,https://search.shopping.naver.com/gate.nhn?id=43942464862
32,NONE 성 쉬폰 플라워 롱 원피스 시폰,28760,11번가,https://search.shopping.naver.com/gate.nhn?id=44878045053
33,23 S S GUCCI COSMOGONIE 울 자카드 원피스 None B0060338935 (36131321),5615450,리본즈,https://search.shopping.naver.com/gate.nhn?id=44143578658
