product_names,prices,product_urls
맥심 모카골드 마일드 커피믹스 170T,"    3,880",https://www.ssg.com/item/itemView.ssg?itemId=1000025981493&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
동서 맥심 모카골드 마일드 커피믹스 1kg x 1봉,"    3,880",https://www.ssg.com/item/itemView.ssg?itemId=1000058656747&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
[동서]맥심 모카골드 마일드 커피믹스 280T x 4개,"    4,800",https://www.ssg.com/item/itemView.ssg?itemId=1000425143500&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
[동서]맥심 모카골드 마일드 커피믹스 280T,"    7,400",https://www.ssg.com/item/itemView.ssg?itemId=1000425141790&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
동서 맥심 모카골드 마일드 310T x 1박스,"    9,200",https://www.ssg.com/item/itemView.ssg?itemId=1000521651424&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심 모카골드 마일드 병커피 175g,"   10,440",https://www.ssg.com/item/itemView.ssg?itemId=1000026303158&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심 모카골드 마일드 병커피 100gX2개,"   11,800",https://www.ssg.com/item/itemView.ssg?itemId=1000031897326&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심 모카골드 마일드 병커피 100g,"   12,200",https://www.ssg.com/item/itemView.ssg?itemId=1000026302841&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
이레 모카마일드 커피믹스 80T,"   12,360",https://www.ssg.com/item/itemView.ssg?itemId=1000573114062&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심 모카골드 마일드 병커피 175gX2개,"   13,200",https://www.ssg.com/item/itemView.ssg?itemId=1000575172414&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
이레 모카마일드 커피믹스 80개입,"   13,200",https://www.ssg.com/item/itemView.ssg?itemId=1000573114591&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
이레 모카마일드 커피믹스 80Tx2개,"   13,750",https://www.ssg.com/item/itemView.ssg?itemId=1000573113648&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심 모카골드 마일드 병커피 100gX3개,"   16,100",https://www.ssg.com/item/itemView.ssg?itemId=1000575016347&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist&advertBidId=9999999998
맥심   모카골드 마일드 커피믹스 250입(쓱배송),"   16,390",https://www.ssg.com/item/itemView.ssg?itemId=0000007024783&siteNo=6001&salestrNo=2037&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
